country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Nepal,,,,,,,,,,,,,,,,,,,,,52.6,64.9,61.7,63.7,66.5,66.2,65.2,59.9,66.4,64.1,64.6,59,63.9,62.6,59.4,51.8,49.7,43,43.8,,33.9,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,55.5,56,56.8,57.3,55,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,48.2,43.9,44.2,42.9,36.9,36.1,32,34.9,48.4,51.8,46.6,44.2,43.4,42.1,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4,53.6,28.6,11.8,12.4,11.5,15.1,9.45,10.2,10.4,10.5,,,,
Norway,,,,,,,,,,,,,,,,,,,,,19.8,18.6,22.3,31.6,30.8,,,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,19.6,27.2,30.2,27.3,29.4,27.4,26,23.8,28.8,26.7,,,,15.7,13.9,8.52,7.88,6.19,4.12,5.62,5.04,4.77,4.61,4.9,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,78.8,76.4,74.9,79.4,,,,,79.1,,74,,,,,,,,,,,,,,,,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,24.9,33.3,26.2,27,22.8,21.5,60.7,67,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,49,46.6,44.9,44.3,53.5,53.7,55.6,62.4,66.4,63.5,57.7,68.3,69.7,,,,,,,,,,,,27.1,31.4,,
Peru,,,,,,,,,,,,,,,,,,,,,189,77.5,79.8,70,55.5,,,,,,,,,,,,32.5,28.5,26.1,26.4,23.7,20.7,19.2,18.4,19.3,22.6,23.2,
Philippines,,,,,,,,,,,,,,,,,,,,,51.3,49.7,52.8,67.1,56.4,61.1,53.2,55.7,60.1,54.5,60.5,61.3,67.1,73.8,74.4,68.5,61.4,53.9,54.7,54.8,52.4,51,51.5,49.2,45.4,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,60.5,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,8.24,5.66,,,,,,,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,101,62.1,49,41.4,,,16.7,9.89,7.16,6.5,8.7,9.1,8.62,8.54,9.05,11.2,13.5,14.2,
Rwanda,,,,,,,,,,,,,,,,,,,,,49.8,47.9,48.4,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1,52.1,55.7,54.4,57.8,52.6,49.1
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,24.2,29.1,35.9,43.6,41.7,40.8,40.6,48.3,39.5,45.7,48.6,,51.5,52.9,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,86,85.1,82.5,83.6,73.7,68.9,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,100,75.4,78.8,78.1,51.6,68.8,63.3,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,99.8,74.8,113,97.8,87.7,104,116,119,188,247,,,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,77.8,79,81.8,72.8,70.2,72.7,72.7,71.3,82.6,87.9,84.1,94.5,107,109,103,95.3,83.3,77.7,97.1,107,103,106,109,100,101,105,112,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,12.9,11.5,9.94,7.63,7,
South Africa,,,,,,,,,,,,,,,,,,,,,35.3,37,40.3,43.8,49.2,49.6,48.9,47.8,49.6,46.8,44.1,,,,,,,,26,,,,,,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,7.55,10.4,10.2,9.35,8.32,7.35,7,8.87,,,,,,,,,,,,,,,33.9,36.7,38.4,39.7,40.4,
Spain,2010,1770,,,,,,,,,,,,,,,,,,,,,,,,54.5,60.2,59.8,60.4,55.3,52.9,48.9,47.9,44,43.2,40.5,35.9,32.1,37.2,50.7,53.6,61.9,83.9,99.4,112,105,104,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,96.6,98.5,95.4,96.8,94.9,94.6,92.3,86.1,89.2,95.1,96.9,103,106,102,102,90.6,88.7,85,,86.1,71.6,71.1,68.7,70.8,71.3,77.7,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.9,93.1,91.6,93,85.7,99.2,97.3,108,116,114,109,74.5,64.8,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,48.1,60.2,58.2,59.2,62.1,52.8,47.4,46.7,48.2,49.2,54.3,61.6,63.6,65.1,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,31.5,31.6,33.6,40.7,43.3,43.4,41.6,39.4,40,51.9,51.7,48.9,52.3,55.5,59.3,57.1,54.1,48,45.8,56.8,59.9,58.5,61.2,63.6,69,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,12.7,13.4,15.7,19,20.7,23.2,23.6,25.6,27.9,25.7,26.3,25.3,30.4,29.4,30,30,26.4,24,23.6,22.2,21.6,21.7,21.8,20.7,21,20.9,19.8,
Thailand,,,,,,,,,,,,,,,,,,,,,18.4,13.4,10.9,8.19,5.69,4.61,3.67,4.64,10.7,20,22,24.6,30.1,27,24.4,25.5,24.4,23,22.5,26.8,26.9,28.1,28.4,34.8,39.6,35.3,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,15.9,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,54.8,60.7,55.5,59.3,59,57.5,55.3,56.9,54.3,55.6,56.7,56.5,55.9,55,53.8,52.4,48.6,45.8,43.3,42.9,40.7,44.6,44.7,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,30.2,32.1,34,33.7,44,35.8,37.9,44.3,30.3,,,,,,,,,,41.5,50.5,47.4,42.4,39.3,32.9,31.6,29.2,31.9,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,45.3,,,,,,,,13.8,24.9,30,27.5,33.7,37,63.7,70.3,71.9,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,30.2,29.2,30.4,35.3,40.5,44.1,43.8,45.2,46.5,43.1,42.9,38.9,39.8,39.6,43.1,44.5,44,45,55.9,69.7,82.8,96.7,101,96.7,108,107,117,
United States,,,,,,,,,,,,,,,,,,,,39,40.8,43.9,45.9,48.1,47.2,47.1,46.6,44,41,37.6,33.2,15.1,53.6,56,56.4,56.3,55.3,55.6,64,76.3,85.6,90.2,94.4,96.6,96.9,97.4,99.5,
Uruguay,,,,,,,,,,,,,,,,,,,,,31.6,24.6,23.6,21.9,24.5,,,,,,,40.6,95.3,106,85.4,76.1,69,58.5,57.3,49.3,44.2,45.4,43.4,42.7,44.4,51.2,50.7,
Vanuatu,,,,,,,,,,,,,,,,,,,,,25,,,,,25.8,23.8,24.9,28.4,27.3,,,,,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,244,278,165,162,149,155,176,150,161,,,,,,,,,,,,,18,23.5,24.2,44.4,49.4,,
